time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg=EOF func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:132"
time="2022-12-29T00:15:28+06:00" level=info msg="rpc error: code = Unknown desc = Exception calling application: forCheckMetadata" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:137"
time="2022-12-29T00:20:37+06:00" level=info msg="rpc error: code = Unknown desc = Exception calling application: forCheckMetadata" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:137"
time="2022-12-29T00:28:03+06:00" level=info msg="rpc error: code = Unknown desc = Exception calling application: forCheckMetadata" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:137"
time="2022-12-29T00:28:47+06:00" level=info msg="rpc error: code = Unknown desc = Exception calling application: No positional arguments allowed" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:137"
time="2022-12-29T00:30:24+06:00" level=info msg="rpc error: code = Unknown desc = Exception calling application: No positional arguments allowed" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:137"
time="2022-12-29T00:31:23+06:00" level=info msg="rpc error: code = Unknown desc = Exception calling application: No positional arguments allowed" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:137"
time="2022-12-29T00:34:14+06:00" level=info msg="rpc error: code = Unknown desc = Exception calling application: local variable 'res' referenced before assignment" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:137"
time="2022-12-29T00:35:12+06:00" level=info msg="<nil>" func="github.com/Bukhashov/filechain/internal/handler/user.(*user).Singin()" file="singin.go:143"
